Name,Author,Hash,Magnet
Big-Point,fossgat,CBF8F6E08DFF278AD8D4B42877E7A0B623392080,magnet:?xt=urn:btih:CBF8F6E08DFF278AD8D4B42877E7A0B623392080&dn=Big-Point
Hoffman Tactical LR-308 V2.6,fossgat,B8B24C06CD4E9BE83E6B0D3DC72D871C3D6439DB,magnet:?xt=urn:btih:B8B24C06CD4E9BE83E6B0D3DC72D871C3D6439DB&dn=Hoffman%20Tactical%20LR-308%20V2%2E6
Amigo Grande Release Rev6,fossgat,C19FE06D84BF27D383CD8445D3A84A252384D87E,magnet:?xt=urn:btih:C19FE06D84BF27D383CD8445D3A84A252384D87E&dn=Amigo%20Grande%20Release%20Rev6
Hoffman Tactical AR-15 Double Ribbed Super Lower,fossgat,AD3F10C852B38A405B8D9311AB93F9D7269D10E9,magnet:?xt=urn:btih:AD3F10C852B38A405B8D9311AB93F9D7269D10E9&dn=Hoffman%20Tactical%20AR-15%20Double%20Ribbed%20Super%20Lower
CHAIRMANWON V2 GIGAPACK DEC2021 UPDATE,fossgat,2933080CF8CE17718B56CC93C0A13448B4682B4E,magnet:?xt=urn:btih:2933080CF8CE17718B56CC93C0A13448B4682B4E&dn=CHAIRMANWON%20V2%20GIGAPACK%20DEC2021%20UPDATE
g22 grizzly,fossgat,0578E93BC0F3A8870B16B07B277AE36596A729FA,magnet:?xt=urn:btih:0578E93BC0F3A8870B16B07B277AE36596A729FA&dn=g22%20grizzly
Super Safety V4.4,fossgat,37B78D35F20CE606EF4A782551095E128FCA41BE,magnet:?xt=urn:btih:37B78D35F20CE606EF4A782551095E128FCA41BE&dn=Super%20Safety%20V4%2E4
SW40 Cobra 40,fossgat,E363CA2BE872573CA1B3E1718F3C5988F4EF894A,magnet:?xt=urn:btih:E363CA2BE872573CA1B3E1718F3C5988F4EF894A&dn=SW40%20Cobra%2040
Stingray FGC-9 MKII Rev2,fossgat,32C93D4DE060D2ACD1F4BC786E0150F7333E1E4B,magnet:?xt=urn:btih:32C93D4DE060D2ACD1F4BC786E0150F7333E1E4B&dn=Stingray%20FGC-9%20MKII%20Rev2
lopoint v2 by freeman1337,fossgat,C95FFB90E1CC04759EA1E26245085CB8076996E8,magnet:?xt=urn:btih:C95FFB90E1CC04759EA1E26245085CB8076996E8&dn=lopoint%20v2%20by%20freeman1337
Orca Upgrades V5.3.B,fossgat,9C1A5B6B6D695A119A2715A39F904B2563B6DAD1,magnet:?xt=urn:btih:9C1A5B6B6D695A119A2715A39F904B2563B6DAD1&dn=Orca%20Upgrades%20V5%2E3%2EB
FMDA DD19.2 Rev3,fossgat,62BDDA243CF026DA2F4F3A9471AFF7696B2255F2,magnet:?xt=urn:btih:62BDDA243CF026DA2F4F3A9471AFF7696B2255F2&dn=FMDA%20DD19%2E2%20Rev3
SL-15 Assembly Video,fossgat,06EA0A63308C1E8F8AF2408BD99C39F226D25BF2,magnet:?xt=urn:btih:06EA0A63308C1E8F8AF2408BD99C39F226D25BF2&dn=SL-15%20Assembly%20Video
Plastikov v3.0,fossgat,FB16CD36C9FB6D84566A6EE38C01A67F1C0E4A80,magnet:?xt=urn:btih:FB16CD36C9FB6D84566A6EE38C01A67F1C0E4A80&dn=Plastikov%20v3%2E0
